btc_address, balance
1BZUDwAowPBa5w9S7e5sdu8k48Xrnsh8EX, 2.10990000
13ZdsrHDfgkNtSGVhqXuXRQC62jqhkwAxZ, 2.10990000
1EYZ1u6ALnFpfhMTQ4tKvTrfMydXVNocK5, 2.10990000
1Ae4eZiEs6ysyAyzeGqrh2CieeTFWq3nhN, 2.10990000
12AqVamuhw9e7PtjR7MweppZj6nfjwSzyS, 2.10990000
1NTwrxKWnrJX3oLUAoWgo4AvEQnd2PwRMM, 2.10990000
15HGiTmHTTFbVW48dM1eHngg75YCmFzvi6, 2.10990000
1Fow61absDDZCZusN87GbiF8i7HLw2Rnbn, 2.10990000
1NMGV3TDZygUZgWF3d4MLhnwrS2B1UvnQo, 2.10989324
39oUVGQeQ3BSbKR938k1SgLykBvSNfh7p9, 2.10988438
16e6ZQsKKQcxefJsMkvRfFTgStUpknsER1, 2.10987988
38pu28DGWNFW6G784PweS9GpbEZkCLz16f, 2.10987904
bc1qudq3m8tvunthefludfpztkcg8p06ku5wv2j9js2mfrnvcldxsteqry2nja, 2.10987000
18uh3cyAjJN2RQKCt2kFQRTaQfJ9doSyDo, 2.10986980
14arKVoCCBRS5eJwgJ8FBnJawwPLuFYkfj, 2.10986640
122axtmwk28kz1KSNAR538Ywsa71oWrZHM, 2.10985000
bc1qdkmaqyrlhucxsd5pc882a7k3rgkr6knjkx8ffs, 2.10984669
137jysTCBgBRFk6LzhPtAdDSBzwcgLyzc2, 2.10984620
bc1qg7858y3e7tqjrplxg99swp8ynmrt4rwnenms8y, 2.10983842
3G1uu897zuXsFbsqBdzQNEE5nnEHjsgahD, 2.10982417
3KJBXfuyLz4u263SrmmT1fREGwTkWXbcwV, 2.10982412
34C8NXNWrtZNVoddZXxjELLQkGjGWajayr, 2.10982131
3AkmVXYBxKwG2SaGWuSnrZCxGV6DfREVMb, 2.10980847
1CJXfytFb3N8YoKep2JFvgPpFhiaWNdUPf, 2.10980000
18M9j8hujgXsAjz5JqmSfBf2BqVgZd7E7h, 2.10979440
1BMAwKknNV8vE9X5xEgfaLEz4p1xLCrsiT, 2.10978864
bc1qewgp89jk8tlqhlk5a9hf98wax9g3fhrv2l40ld, 2.10977958
3AZ1wNm8AUjncSg8eKibYFdXsvzP3oqv3L, 2.10976772
3762CPQguPgRSAUkcZHBqQcmqMBjqCrtn3, 2.10976623
3LfPaD1gpRp2yVHY95mGuV6PTSC7vzM7Mq, 2.10976312
bc1qnjahed9w32pmzu39tdj44ammxmawd9wdk0lvmx, 2.10976285
3A5sVq8Dro1xZ3stARHMVeeHHyqQeBszY7, 2.10975667
3JpcXDjb3nrRLykLy64ZHKT6deyLcEvoZj, 2.10975208
16d5vdw7ZXg1TFfesrSPiod8vqJY5DYvKB, 2.10973071
3LtGfkaX3nguXUEWdmAgDycsEdbXZSGc6x, 2.10973000
bc1qr9llv42t8n3s5r0unr9frms5xdggzeyst2vf00, 2.10972032
3CyV6tSdxMKQG8Qnm9Dhy7roaPSgTQKMPS, 2.10972000
33c6Rtg9svcD1dkLi4vSwaLRnn8tPRuZZg, 2.10971851
144eW3t5ff6Mpw2Z3FZ8JknvJPaditQf11, 2.10970000
18zsPqcBh35YGbnkW3k8399g98zQqn1trJ, 2.10970000
1CUk1evFTGe28C9xLoPHbtptNyyAWfGyVp, 2.10969864
12qB51sza1CCyUm1okBSzgrXwaxvzL7uRY, 2.10968960
3GBLKbzVDPakgBgKaN9bT26nQSs9fcMQCr, 2.10968270
1FjVbDwyyV4NKFRoqhh7NFhcMMP2kBjph9, 2.10966516
bc1qj0j9al8rk24rnvpg2cx5pwedfd3p3flm3ddxny, 2.10966446
1PXgujEVZZ3MwnmkpMF18nxqnhFxjGdFhG, 2.10962612
1BPWSJiCfoxA3kukKJRbSKiwpAHr7DrEF7, 2.10961345
3N73q9Ncvvy6Nma12BZP7Zad2SbwaXBC9n, 2.10961000
35gctLBaKv6c3XQBAJQTL6qHHgNdJf4CTp, 2.10960958
3FRVUwuQyvCTCywSdEND3AyAYXM6CFbSYB, 2.10960600
14Mwx91GAwcMn3rXC6itzdsVvb1UiNyXb9, 2.10960400
37pjPMtyggnG9q8ZXecwAtiC1ZCeRQ2XAC, 2.10960000
1DDYfDe1vBsA8Gyo9gVX2WV4KZdVyRURtj, 2.10960000
bc1qfjjgw6tcyv20rw24d2z27a7gqtyapc5q5wdzz8, 2.10959729
bc1q7085g4hxzr8qxht70tuk457mdzxpyumxk7zs5k, 2.10959192
13tCiSGR1BbVqJv6AngxdJzSCuNFnZbAnm, 2.10958815
bc1qvewdzatfdm2kcwu8u5599nr9fq22a7n9zjham9, 2.10958330
14yLxPqoGTY22bCVDX8r1Q8PdRC1cL2AvS, 2.10957044
3BpeHZb6ebiJXLVoFQBHUDwQXiMN1YsgDs, 2.10956900
36Mg7AgSt1k9wcRonapauube4UVCHiPofd, 2.10955365
15iMRcuvvbhnKneub6T6zViBnv66N7U8ZS, 2.10953418
bc1q7qn4q73gmrkjuj589rum0dv365dj2fvthmzp54, 2.10952086
3EBN6yfgGFwDHcPFUNounHkzmJfEqh1NT4, 2.10950925
3GmmSqpnhWVfFDSjG2gQxNQLMW27UPCoc2, 2.10950348
3GaeJFQGo6K626E3mWdh3vKpYdCow9KgPw, 2.10950238
37LQhnT537sDVyFbGo6FRicv95tVbTMDiU, 2.10950104
1ALCvodXQdKE5RkYDjScyvY1h8eg9FUTa2, 2.10950000
3KhsRwzcPuVafYZm1c2thmmwvaiSS9XasN, 2.10950000
bc1qyrs6gh03w0lm04jmclr7yx3p850tgq3c3punt4, 2.10950000
3AgCFmoGVMZJbiHQvHZSW4kZB7VLj6Puba, 2.10950000
3KhsRwzcPuVafYZm1c2thmmwvaiSS9XasN, 2.10950000
1FyRwsYzosFSYmgp6Wx7gdQ54nzNEnmd4E, 2.10950000
38yUmMvUwmWc2pvRdzJfgpwzzFGTTkxmou, 2.10950000
33zTNN6QBcZ4fiLVsqW4xUi1QcDcNguHXK, 2.10950000
35wp9Wy1cBbTYwACewxLgvkCftHMgJ1KNV, 2.10949300
